entry_date,exit_date,entry_px,exit_px,return,weeks_held,open,asset
2024-02-16,2025-02-21,1.2638709545135498,1.2584631443023682,-0.004278767695285013,53,False,GBPUSD
2025-06-06,2026-07-10,1.3469464778900146,1.3350956439971924,-0.008798296062503153,57,False,GBPUSD
1997-11-21,1998-12-11,126.0199966430664,118.4499969482422,-0.06006982936418526,55,False,USDJPY
2000-08-25,2002-08-09,108.19000244140624,118.8499984741211,0.09853032435680098,102,False,USDJPY
2004-09-10,2004-12-10,110.5500030517578,102.04000091552734,-0.07697875984902691,13,False,USDJPY
2005-07-15,2006-08-18,112.1500015258789,116.1999969482422,0.03611230822345335,57,False,USDJPY
2006-11-10,2007-10-26,117.8949966430664,113.70999908447266,-0.03549766892367845,50,False,USDJPY
2012-04-27,2012-10-26,81.5999984741211,79.25,-0.02879900144687353,26,False,USDJPY
2012-12-21,2016-01-22,84.12300109863281,117.01000213623048,0.39093946492753173,161,False,USDJPY
2017-02-03,2017-10-20,114.68299865722656,111.8769989013672,-0.0244674432018136,37,False,USDJPY
2018-02-02,2018-03-09,108.64800262451172,105.55999755859376,-0.02842210617152463,5,False,USDJPY
2018-09-21,2019-05-03,111.95099639892578,111.60099792480467,-0.0031263542565884705,32,False,USDJPY
2020-03-13,2020-07-10,103.9729995727539,107.5790023803711,0.034682108070700934,17,False,USDJPY
2021-05-14,2023-04-14,108.5999984741211,132.0970001220703,0.21636281747783315,100,False,USDJPY
2023-08-18,2024-12-06,144.81700134277344,149.8159942626953,0.03451937875781286,68,False,USDJPY
2025-02-21,2025-04-25,152.0229949951172,140.87600708007812,-0.07332435409128135,9,False,USDJPY
2025-12-05,2026-07-10,155.88699340820312,161.48699951171875,0.03592349804868933,31,True,USDJPY
2000-01-14,2000-10-27,19.695999776036288,16.885595846176148,-0.14268907198503833,41,False,TECH
2003-06-06,2004-08-27,6.334634237065099,7.0323343704904735,0.11014055544722745,64,False,TECH
2005-01-28,2006-08-04,7.558431960087779,7.590951065889389,0.004302361385711606,79,False,TECH
2006-12-08,2008-03-21,9.019545222401034,8.284946643343595,-0.08144519052168864,67,False,TECH
2009-08-14,2010-10-01,7.868898279349934,9.424098186593222,0.19763883736107535,59,False,TECH
2010-10-29,2011-10-07,9.843039600119544,9.663272947311366,-0.018263327194781853,49,False,TECH
2012-02-10,2013-03-22,11.459267912472852,12.684986973736455,0.10696312108467843,58,False,TECH
2013-03-29,2019-02-01,12.828944576079971,30.36755422696293,1.3671124344542207,305,False,TECH
2019-05-24,2022-05-27,34.76229324124249,63.6620735692438,0.8313542529384741,157,False,TECH
2023-04-14,2025-05-23,72.19581074602613,114.91547029263324,0.5917193685501834,110,False,TECH
2025-08-08,2026-07-17,129.0676573024302,183.1000061035156,0.41863585293469185,49,True,TECH
2000-01-14,2000-01-21,5.481193472998533,5.3751841994904295,-0.019340545819140798,1,False,UTILITIES
2000-08-25,2001-09-28,5.712635300152788,6.170102356912319,0.08007986379723842,57,False,UTILITIES
2003-06-27,2008-05-23,5.103578583574527,10.757704545463454,1.1078747724364026,256,False,UTILITIES
2009-10-02,2015-07-31,8.220740083416166,14.88875137358636,0.8111205587951482,304,False,UTILITIES
2016-02-12,2017-02-17,16.669816360050017,18.3034156888158,0.09799744001264332,53,False,UTILITIES
2017-03-31,2018-04-06,19.47811746124518,19.55379091722056,0.0038850497809115314,53,False,UTILITIES
2018-09-21,2020-06-12,21.12397193078928,25.322685958384263,0.1987653667289313,90,False,UTILITIES
2020-11-27,2023-01-20,26.799811175949944,32.114564726948004,0.19831309691344012,112,False,UTILITIES
2024-05-03,2026-07-17,31.242420333120364,45.45000076293945,0.4547528737636728,115,True,UTILITIES
2000-01-14,2000-03-03,18.46027565002441,15.891470722020186,-0.13915311865892033,7,False,INDUSTRIALS
2000-07-21,2001-05-11,18.703339959488435,18.951441927792214,0.013265115687421059,42,False,INDUSTRIALS
2003-07-18,2005-11-11,14.846516109315685,20.313495635986328,0.368233158972582,121,False,INDUSTRIALS
2005-12-02,2008-03-21,21.27537084766106,24.572399817561617,0.15496928319174397,120,False,INDUSTRIALS
2009-09-18,2011-10-07,19.0686659050131,22.09888111838329,0.15891070872312874,107,False,INDUSTRIALS
2012-03-16,2015-09-18,28.43775097082682,42.504267185359694,0.4946423586366997,183,False,INDUSTRIALS
2016-05-27,2018-12-14,46.01895776064692,59.769973449512776,0.2988119757163432,133,False,INDUSTRIALS
2019-05-31,2020-04-24,65.74592095423334,56.33574296663184,-0.14312945732636484,47,False,INDUSTRIALS
2020-10-23,2022-04-22,74.93959000448619,93.36833730408028,0.24591470674567173,78,False,INDUSTRIALS
2023-02-10,2026-07-17,97.23239466293516,181.5200042724609,0.8668675692058836,179,True,INDUSTRIALS
2000-01-14,2000-02-18,7.68229104439016,6.100766572123376,-0.2058662530654395,5,False,MATERIALS
2001-03-30,2001-12-21,5.768192551672433,6.252727644025466,0.0840011993380052,38,False,MATERIALS
2002-03-08,2002-10-04,6.930914352935827,5.241768573770835,-0.2437118240322067,30,False,MATERIALS
2003-07-18,2005-09-02,6.362773773030028,8.539674892965744,0.34213083752293283,111,False,MATERIALS
2006-01-27,2008-10-03,9.63376384209739,11.704246195078367,0.21491935934047235,140,False,MATERIALS
2009-08-28,2010-09-10,10.661258292774034,11.547741490620838,0.08314995974233574,54,False,MATERIALS
2010-11-12,2011-10-07,13.044171163653782,10.728820597442786,-0.17750078078264409,47,False,MATERIALS
2012-05-04,2015-08-28,13.7621907887537,16.28812730970519,0.18354174562204562,173,False,MATERIALS
2016-06-24,2018-10-19,19.512020179508944,22.97721043294748,0.17759259274842254,121,False,MATERIALS
2019-06-28,2020-04-10,25.078213791580072,19.65295979448963,-0.21633334982222518,41,False,MATERIALS
2020-09-11,2022-07-08,28.369668316610717,33.34450145442883,0.1753574656671364,95,False,MATERIALS
2023-03-10,2025-03-21,39.40889968827738,41.720089901112665,0.05864640299822366,106,False,MATERIALS
2025-09-26,2026-07-17,44.58721160888672,50.970001220703125,0.14315292168986504,42,True,MATERIALS
